theta,basis,expectation,counts
0,ZZZZ,1.0,"{'00': 1000, '11': 1000}"
0,XZZZ,0.0,"{'00': 500, '01': 500, '10': 500, '11': 500}"
0,ZXZZ,0.0,"{'00': 500, '01': 500, '10': 500, '11': 500}"
0,YZZZ,0.0,"{'00': 500, '01': 500, '10': 500, '11': 500}"
0,ZYZZ,0.0,"{'00': 500, '01': 500, '10': 500, '11': 500}"
0,XXZZ,1.0,"{'00': 1000, '11': 1000}"
0,YYZZ,-1.0,"{'01': 1000, '10': 1000}"
0,XYZZ,0.0,"{'00': 500, '01': 500, '10': 500, '11': 500}"
0,YXZZ,0.0,"{'00': 500, '01': 500, '10': 500, '11': 500}"
0,ZZXZ,0.0,"{'000': 500, '011': 500, '100': 500, '111': 500}"
0,ZZZX,0.0,"{'0000': 500, '0011': 500, '1000': 500, '1011': 500}"
0,ZZYZ,0.0,"{'000': 500, '011': 500, '100': 500, '111': 500}"
0,ZZZY,0.0,"{'0000': 500, '0011': 500, '1000': 500, '1011': 500}"
0,XXXX,0.0,"{'0000': 250, '0011': 250, '0100': 250, '0111': 250, '1000': 250, '1011': 250, '1100': 250, '1111': 250}"
0,YYYY,0.0,"{'0001': 250, '0010': 250, '0101': 250, '0110': 250, '1001': 250, '1010': 250, '1101': 250, '1110': 250}"
0,XYXY,0.0,"{'0000': 125, '0001': 125, '0010': 125, '0011': 125, '0100': 125, '0101': 125, '0110': 125, '0111': 125, '1000': 125, '1001': 125, '1010': 125, '1011': 125, '1100': 125, '1101': 125, '1110': 125, '1111': 125}"
15,ZZZZ,1.0,"{'00': 1000, '11': 1000}"
15,XZZZ,0.0,"{'00': 500, '01': 500, '10': 500, '11': 500}"
15,ZXZZ,0.0,"{'00': 500, '01': 500, '10': 500, '11': 500}"
15,YZZZ,0.0,"{'00': 500, '01': 500, '10': 500, '11': 500}"
15,ZYZZ,0.0,"{'00': 500, '01': 500, '10': 500, '11': 500}"
15,XXZZ,0.964,"{'00': 982, '01': 18, '10': 18, '11': 982}"
15,YYZZ,-0.964,"{'00': 18, '01': 982, '10': 982, '11': 18}"
15,XYZZ,0.26,"{'00': 630, '01': 370, '10': 370, '11': 630}"
15,YXZZ,0.26,"{'00': 630, '01': 370, '10': 370, '11': 630}"
15,ZZXZ,0.0,"{'000': 500, '011': 500, '100': 500, '111': 500}"
15,ZZZX,0.0,"{'0000': 500, '0011': 500, '1000': 500, '1011': 500}"
15,ZZYZ,0.0,"{'000': 500, '011': 500, '100': 500, '111': 500}"
15,ZZZY,0.0,"{'0000': 500, '0011': 500, '1000': 500, '1011': 500}"
15,XXXX,0.0,"{'0000': 246, '0001': 4, '0010': 4, '0011': 246, '0100': 246, '0101': 4, '0110': 4, '0111': 246, '1000': 246, '1001': 4, '1010': 4, '1011': 246, '1100': 246, '1101': 4, '1110': 4, '1111': 246}"
15,YYYY,-1.734723475976807e-18,"{'0000': 4, '0001': 246, '0010': 246, '0011': 4, '0100': 4, '0101': 246, '0110': 246, '0111': 4, '1000': 4, '1001': 246, '1010': 246, '1011': 4, '1100': 4, '1101': 246, '1110': 246, '1111': 4}"
15,XYXY,0.0,"{'0000': 158, '0001': 92, '0010': 92, '0011': 158, '0100': 158, '0101': 92, '0110': 92, '0111': 158, '1000': 158, '1001': 92, '1010': 92, '1011': 158, '1100': 158, '1101': 92, '1110': 92, '1111': 158}"
30,ZZZZ,1.0,"{'00': 1000, '11': 1000}"
30,XZZZ,0.0,"{'00': 500, '01': 500, '10': 500, '11': 500}"
30,ZXZZ,0.0,"{'00': 500, '01': 500, '10': 500, '11': 500}"
30,YZZZ,0.0,"{'00': 500, '01': 500, '10': 500, '11': 500}"
30,ZYZZ,0.0,"{'00': 500, '01': 500, '10': 500, '11': 500}"
30,XXZZ,0.8680000000000001,"{'00': 934, '01': 66, '10': 66, '11': 934}"
30,YYZZ,-0.868,"{'00': 66, '01': 934, '10': 934, '11': 66}"
30,XYZZ,0.5,"{'00': 750, '01': 250, '10': 250, '11': 750}"
30,YXZZ,0.5,"{'00': 750, '01': 250, '10': 250, '11': 750}"
30,ZZXZ,0.0,"{'000': 500, '011': 500, '100': 500, '111': 500}"
30,ZZZX,0.0,"{'0000': 500, '0011': 500, '1000': 500, '1011': 500}"
30,ZZYZ,0.0,"{'000': 500, '011': 500, '100': 500, '111': 500}"
30,ZZZY,0.0,"{'0000': 500, '0011': 500, '1000': 500, '1011': 500}"
30,XXXX,4.163336342344337e-17,"{'0000': 234, '0001': 16, '0010': 16, '0011': 234, '0100': 234, '0101': 16, '0110': 16, '0111': 234, '1000': 234, '1001': 16, '1010': 16, '1011': 234, '1100': 234, '1101': 16, '1110': 16, '1111': 234}"
30,YYYY,-3.469446951953614e-17,"{'0000': 16, '0001': 234, '0010': 234, '0011': 16, '0100': 16, '0101': 234, '0110': 234, '0111': 16, '1000': 16, '1001': 234, '1010': 234, '1011': 16, '1100': 16, '1101': 234, '1110': 234, '1111': 16}"
30,XYXY,0.0,"{'0000': 188, '0001': 62, '0010': 62, '0011': 188, '0100': 188, '0101': 62, '0110': 62, '0111': 188, '1000': 188, '1001': 62, '1010': 62, '1011': 188, '1100': 188, '1101': 62, '1110': 62, '1111': 188}"
45,ZZZZ,1.0,"{'00': 1000, '11': 1000}"
45,XZZZ,0.0,"{'00': 500, '01': 500, '10': 500, '11': 500}"
45,ZXZZ,0.0,"{'00': 500, '01': 500, '10': 500, '11': 500}"
45,YZZZ,0.0,"{'00': 500, '01': 500, '10': 500, '11': 500}"
45,ZYZZ,0.0,"{'00': 500, '01': 500, '10': 500, '11': 500}"
45,XXZZ,0.708,"{'00': 854, '01': 146, '10': 146, '11': 854}"
45,YYZZ,-0.708,"{'00': 146, '01': 854, '10': 854, '11': 146}"
45,XYZZ,0.708,"{'00': 854, '01': 146, '10': 146, '11': 854}"
45,YXZZ,0.708,"{'00': 854, '01': 146, '10': 146, '11': 854}"
45,ZZXZ,0.0,"{'000': 500, '011': 500, '100': 500, '111': 500}"
45,ZZZX,0.0,"{'0000': 500, '0011': 500, '1000': 500, '1011': 500}"
45,ZZYZ,0.0,"{'000': 500, '011': 500, '100': 500, '111': 500}"
45,ZZZY,0.0,"{'0000': 500, '0011': 500, '1000': 500, '1011': 500}"
45,XXXX,0.0,"{'0000': 214, '0001': 36, '0010': 36, '0011': 214, '0100': 214, '0101': 36, '0110': 36, '0111': 214, '1000': 214, '1001': 36, '1010': 36, '1011': 214, '1100': 214, '1101': 36, '1110': 36, '1111': 214}"
45,YYYY,1.0408340855860843e-17,"{'0000': 36, '0001': 214, '0010': 214, '0011': 36, '0100': 36, '0101': 214, '0110': 214, '0111': 36, '1000': 36, '1001': 214, '1010': 214, '1011': 36, '1100': 36, '1101': 214, '1110': 214, '1111': 36}"
45,XYXY,0.0,"{'0000': 214, '0001': 36, '0010': 36, '0011': 214, '0100': 214, '0101': 36, '0110': 36, '0111': 214, '1000': 214, '1001': 36, '1010': 36, '1011': 214, '1100': 214, '1101': 36, '1110': 36, '1111': 214}"
60,ZZZZ,1.0,"{'00': 1000, '11': 1000}"
60,XZZZ,0.0,"{'00': 500, '01': 500, '10': 500, '11': 500}"
60,ZXZZ,0.0,"{'00': 500, '01': 500, '10': 500, '11': 500}"
60,YZZZ,0.0,"{'00': 500, '01': 500, '10': 500, '11': 500}"
60,ZYZZ,0.0,"{'00': 500, '01': 500, '10': 500, '11': 500}"
60,XXZZ,0.5,"{'00': 750, '01': 250, '10': 250, '11': 750}"
60,YYZZ,-0.5,"{'00': 250, '01': 750, '10': 750, '11': 250}"
60,XYZZ,0.8680000000000001,"{'00': 934, '01': 66, '10': 66, '11': 934}"
60,YXZZ,0.8680000000000001,"{'00': 934, '01': 66, '10': 66, '11': 934}"
60,ZZXZ,0.0,"{'000': 500, '011': 500, '100': 500, '111': 500}"
60,ZZZX,0.0,"{'0000': 500, '0011': 500, '1000': 500, '1011': 500}"
60,ZZYZ,0.0,"{'000': 500, '011': 500, '100': 500, '111': 500}"
60,ZZZY,0.0,"{'0000': 500, '0011': 500, '1000': 500, '1011': 500}"
60,XXXX,0.0,"{'0000': 188, '0001': 62, '0010': 62, '0011': 188, '0100': 188, '0101': 62, '0110': 62, '0111': 188, '1000': 188, '1001': 62, '1010': 62, '1011': 188, '1100': 188, '1101': 62, '1110': 62, '1111': 188}"
60,YYYY,0.0,"{'0000': 62, '0001': 188, '0010': 188, '0011': 62, '0100': 62, '0101': 188, '0110': 188, '0111': 62, '1000': 62, '1001': 188, '1010': 188, '1011': 62, '1100': 62, '1101': 188, '1110': 188, '1111': 62}"
60,XYXY,4.163336342344337e-17,"{'0000': 234, '0001': 16, '0010': 16, '0011': 234, '0100': 234, '0101': 16, '0110': 16, '0111': 234, '1000': 234, '1001': 16, '1010': 16, '1011': 234, '1100': 234, '1101': 16, '1110': 16, '1111': 234}"
75,ZZZZ,1.0,"{'00': 1000, '11': 1000}"
75,XZZZ,0.0,"{'00': 500, '01': 500, '10': 500, '11': 500}"
75,ZXZZ,0.0,"{'00': 500, '01': 500, '10': 500, '11': 500}"
75,YZZZ,0.0,"{'00': 500, '01': 500, '10': 500, '11': 500}"
75,ZYZZ,0.0,"{'00': 500, '01': 500, '10': 500, '11': 500}"
75,XXZZ,0.26,"{'00': 630, '01': 370, '10': 370, '11': 630}"
75,YYZZ,-0.26,"{'00': 370, '01': 630, '10': 630, '11': 370}"
75,XYZZ,0.964,"{'00': 982, '01': 18, '10': 18, '11': 982}"
75,YXZZ,0.964,"{'00': 982, '01': 18, '10': 18, '11': 982}"
75,ZZXZ,0.0,"{'000': 500, '011': 500, '100': 500, '111': 500}"
75,ZZZX,0.0,"{'0000': 500, '0011': 500, '1000': 500, '1011': 500}"
75,ZZYZ,0.0,"{'000': 500, '011': 500, '100': 500, '111': 500}"
75,ZZZY,0.0,"{'0000': 500, '0011': 500, '1000': 500, '1011': 500}"
75,XXXX,0.0,"{'0000': 158, '0001': 92, '0010': 92, '0011': 158, '0100': 158, '0101': 92, '0110': 92, '0111': 158, '1000': 158, '1001': 92, '1010': 92, '1011': 158, '1100': 158, '1101': 92, '1110': 92, '1111': 158}"
75,YYYY,0.0,"{'0000': 92, '0001': 158, '0010': 158, '0011': 92, '0100': 92, '0101': 158, '0110': 158, '0111': 92, '1000': 92, '1001': 158, '1010': 158, '1011': 92, '1100': 92, '1101': 158, '1110': 158, '1111': 92}"
75,XYXY,0.0,"{'0000': 246, '0001': 4, '0010': 4, '0011': 246, '0100': 246, '0101': 4, '0110': 4, '0111': 246, '1000': 246, '1001': 4, '1010': 4, '1011': 246, '1100': 246, '1101': 4, '1110': 4, '1111': 246}"
90,ZZZZ,1.0,"{'00': 1000, '11': 1000}"
90,XZZZ,0.0,"{'00': 500, '01': 500, '10': 500, '11': 500}"
90,ZXZZ,0.0,"{'00': 500, '01': 500, '10': 500, '11': 500}"
90,YZZZ,0.0,"{'00': 500, '01': 500, '10': 500, '11': 500}"
90,ZYZZ,0.0,"{'00': 500, '01': 500, '10': 500, '11': 500}"
90,XXZZ,0.0,"{'00': 500, '01': 500, '10': 500, '11': 500}"
90,YYZZ,0.0,"{'00': 500, '01': 500, '10': 500, '11': 500}"
90,XYZZ,1.0,"{'00': 1000, '11': 1000}"
90,YXZZ,1.0,"{'00': 1000, '11': 1000}"
90,ZZXZ,0.0,"{'000': 500, '011': 500, '100': 500, '111': 500}"
90,ZZZX,0.0,"{'0000': 500, '0011': 500, '1000': 500, '1011': 500}"
90,ZZYZ,0.0,"{'000': 500, '011': 500, '100': 500, '111': 500}"
90,ZZZY,0.0,"{'0000': 500, '0011': 500, '1000': 500, '1011': 500}"
90,XXXX,0.0,"{'0000': 125, '0001': 125, '0010': 125, '0011': 125, '0100': 125, '0101': 125, '0110': 125, '0111': 125, '1000': 125, '1001': 125, '1010': 125, '1011': 125, '1100': 125, '1101': 125, '1110': 125, '1111': 125}"
90,YYYY,0.0,"{'0000': 125, '0001': 125, '0010': 125, '0011': 125, '0100': 125, '0101': 125, '0110': 125, '0111': 125, '1000': 125, '1001': 125, '1010': 125, '1011': 125, '1100': 125, '1101': 125, '1110': 125, '1111': 125}"
90,XYXY,0.0,"{'0000': 250, '0011': 250, '0100': 250, '0111': 250, '1000': 250, '1011': 250, '1100': 250, '1111': 250}"
